D19_POSTsiembra_A1_(I)(001), 10:25:6:151
D19_POSTsiembra_A1_(IV)(000), 13:34:52:865
D19_POSTsiembra_A2_(I)(000), 10:29:16:950
D19_POSTsiembra_A2_(IV)(000), 13:38:56:836
D19_POSTsiembra_A3_(I)(000), 10:33:19:233
D19_POSTsiembra_A3_(IV)(000), 13:43:46:987
D19_POSTsiembra_A4_(I)(000), 10:37:49:212
D19_POSTsiembra_A4_(IV)(000), 13:47:48:851
D19_POSTsiembra_A5_(IV)(000), 13:52:19:515
D19_POSTsiembra_B1_(I)(000), 10:55:39:275
D19_POSTsiembra_B2_(I)(000), 10:51:25:807
D19_POSTsiembra_B2_(IV)(000), 14:8:17:17
D19_POSTsiembra_B3_(I)(000), 10:46:31:235
D19_POSTsiembra_B3_(IV)(000), 14:4:15:676
D19_POSTsiembra_B4_(I)(000), 10:42:4:749
D19_POSTsiembra_B4_(IV)(000), 14:0:19:681
D19_POSTsiembra_B5_(IV)(000), 13:56:20:996
D19_POSTsiembra_C1_(I)(000), 10:59:30:537
D19_POSTsiembra_C2_(I)(000), 11:3:31:48
D19_POSTsiembra_C2_(IV)(000), 14:12:38:712
D19_POSTsiembra_C3_(I)(000), 11:7:32:46
D19_POSTsiembra_C3_(IV)(000), 14:17:13:799
D19_POSTsiembra_C4_(I)(000), 11:11:44:345
D19_POSTsiembra_C4_(IV)(000), 14:21:26:606
D19_POSTsiembra_C5_(IV)(000), 14:25:32:141
D19_POSTsiembra_C6_(IV)(000), 14:29:34:307
D19_POSTsiembra_D2_(IV)(000), 14:49:31:811
D19_POSTsiembra_D3_(IV)(000), 14:45:27:670
D19_POSTsiembra_D4_(IV)(000), 14:41:29:570
D19_POSTsiembra_D5_(IV)(000), 14:37:33:671
D19_POSTsiembra_D6_(IV)(000), 14:33:35:248