,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,100,0,14:33:38.148215,14:33:38.254680,0 days 00:00:00.106465
1,2,100,0,14:33:41.288877,14:33:41.398818,0 days 00:00:00.109941
2,3,100,0,14:33:44.419812,14:33:44.529753,0 days 00:00:00.109941
3,4,100,0,14:33:47.553034,14:33:47.662975,0 days 00:00:00.109941
4,5,100,0,14:33:50.692677,14:33:50.802621,0 days 00:00:00.109944
5,6,100,0,14:33:53.831812,14:33:53.941787,0 days 00:00:00.109975
6,7,100,0,14:33:56.978826,14:33:57.088783,0 days 00:00:00.109957
7,8,100,0,14:34:00.118646,14:34:00.228589,0 days 00:00:00.109943
8,9,100,0,14:34:03.252703,14:34:03.362644,0 days 00:00:00.109941
9,10,100,0,14:34:06.398685,14:34:06.508626,0 days 00:00:00.109941
10,1,100,20,14:34:09.533587,14:34:09.633710,0 days 00:00:00.100123
11,2,100,20,14:34:12.657737,14:34:12.768003,0 days 00:00:00.110266
12,3,100,20,14:34:15.804203,14:34:15.914143,0 days 00:00:00.109940
13,4,100,20,14:34:18.937894,14:34:19.039798,0 days 00:00:00.101904
14,5,100,20,14:34:22.061853,14:34:22.163003,0 days 00:00:00.101150
15,6,100,20,14:34:25.199960,14:34:25.309905,0 days 00:00:00.109945
16,7,100,20,14:34:28.345345,14:34:28.448020,0 days 00:00:00.102675
17,8,100,20,14:34:31.473870,14:34:31.583827,0 days 00:00:00.109957
18,9,100,20,14:34:34.613272,14:34:34.723240,0 days 00:00:00.109968
19,10,100,20,14:34:37.752695,14:34:37.862637,0 days 00:00:00.109942
20,1,100,40,14:34:40.890343,14:34:41.000284,0 days 00:00:00.109941
21,2,100,40,14:34:44.037649,14:34:44.150120,0 days 00:00:00.112471
22,3,100,40,14:34:47.186019,14:34:47.295962,0 days 00:00:00.109943
23,4,100,40,14:34:50.319470,14:34:50.429411,0 days 00:00:00.109941
24,5,100,40,14:34:53.454817,14:34:53.564761,0 days 00:00:00.109944
25,6,100,40,14:34:56.601988,14:34:56.711930,0 days 00:00:00.109942
26,7,100,40,14:34:59.740065,14:34:59.841272,0 days 00:00:00.101207
27,8,100,40,14:35:02.864533,14:35:02.974475,0 days 00:00:00.109942
28,9,100,40,14:35:05.998131,14:35:06.108073,0 days 00:00:00.109942
29,10,100,40,14:35:09.137338,14:35:09.247270,0 days 00:00:00.109932
30,1,100,60,14:35:12.271103,14:35:12.381054,0 days 00:00:00.109951
31,2,100,60,14:35:15.410774,14:35:15.520714,0 days 00:00:00.109940
32,3,100,60,14:35:18.545284,14:35:18.655196,0 days 00:00:00.109912
33,4,100,60,14:35:21.680591,14:35:21.790535,0 days 00:00:00.109944
34,5,100,60,14:35:24.813894,14:35:24.923830,0 days 00:00:00.109936
35,6,100,60,14:35:27.945539,14:35:28.055479,0 days 00:00:00.109940
36,7,100,60,14:35:31.090974,14:35:31.200921,0 days 00:00:00.109947
37,8,100,60,14:35:34.226643,14:35:34.328675,0 days 00:00:00.102032
38,9,100,60,14:35:37.353466,14:35:37.463353,0 days 00:00:00.109887
39,10,100,60,14:35:40.490703,14:35:40.600642,0 days 00:00:00.109939
40,1,100,80,14:35:43.629487,14:35:43.739427,0 days 00:00:00.109940
41,2,100,80,14:35:46.779368,14:35:46.897519,0 days 00:00:00.118151
42,3,100,80,14:35:49.923398,14:35:50.033340,0 days 00:00:00.109942
43,4,100,80,14:35:53.055615,14:35:53.165556,0 days 00:00:00.109941
44,5,100,80,14:35:56.194998,14:35:56.304939,0 days 00:00:00.109941
45,6,100,80,14:35:59.333843,14:35:59.443784,0 days 00:00:00.109941
46,7,100,80,14:36:02.469857,14:36:02.579791,0 days 00:00:00.109934
47,8,100,80,14:36:05.607634,14:36:05.717576,0 days 00:00:00.109942
48,9,100,80,14:36:08.743912,14:36:08.853852,0 days 00:00:00.109940
49,10,100,80,14:36:11.888167,14:36:11.998109,0 days 00:00:00.109942
50,1,100,100,14:36:15.025974,14:36:15.135904,0 days 00:00:00.109930
51,2,100,100,14:36:18.161025,14:36:18.270966,0 days 00:00:00.109941
52,3,100,100,14:36:21.294540,14:36:21.394558,0 days 00:00:00.100018
53,4,100,100,14:36:24.423900,14:36:24.527663,0 days 00:00:00.103763
54,5,100,100,14:36:27.551845,14:36:27.652183,0 days 00:00:00.100338
55,6,100,100,14:36:30.681609,14:36:30.781957,0 days 00:00:00.100348
56,7,100,100,14:36:33.804004,14:36:33.904046,0 days 00:00:00.100042
57,8,100,100,14:36:36.937393,14:36:37.044475,0 days 00:00:00.107082
58,9,100,100,14:36:40.076029,14:36:40.176050,0 days 00:00:00.100021
59,10,100,100,14:36:43.199097,14:36:43.309041,0 days 00:00:00.109944