,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,100,0,14:41:31.605452,14:41:31.708745,0 days 00:00:00.103293
1,2,100,0,14:41:34.737371,14:41:34.847313,0 days 00:00:00.109942
2,3,100,0,14:41:37.870087,14:41:37.980016,0 days 00:00:00.109929
3,4,100,0,14:41:41.008796,14:41:41.118738,0 days 00:00:00.109942
4,5,100,0,14:41:44.139342,14:41:44.249279,0 days 00:00:00.109937
5,6,100,0,14:41:47.284604,14:41:47.392926,0 days 00:00:00.108322
6,7,100,0,14:41:50.418800,14:41:50.528741,0 days 00:00:00.109941
7,8,100,0,14:41:53.566882,14:41:53.676823,0 days 00:00:00.109941
8,9,100,0,14:41:56.697027,14:41:56.806968,0 days 00:00:00.109941
9,10,100,0,14:41:59.831316,14:41:59.941276,0 days 00:00:00.109960
10,1,100,20,14:42:02.972234,14:42:03.082241,0 days 00:00:00.110007
11,2,100,20,14:42:06.108993,14:42:06.218933,0 days 00:00:00.109940
12,3,100,20,14:42:09.247588,14:42:09.357532,0 days 00:00:00.109944
13,4,100,20,14:42:12.381999,14:42:12.491929,0 days 00:00:00.109930
14,5,100,20,14:42:15.520951,14:42:15.621008,0 days 00:00:00.100057
15,6,100,20,14:42:18.645449,14:42:18.755390,0 days 00:00:00.109941
16,7,100,20,14:42:21.789984,14:42:21.891397,0 days 00:00:00.101413
17,8,100,20,14:42:24.920980,14:42:25.030932,0 days 00:00:00.109952
18,9,100,20,14:42:28.053366,14:42:28.163307,0 days 00:00:00.109941
19,10,100,20,14:42:31.190805,14:42:31.300747,0 days 00:00:00.109942
20,1,100,40,14:42:34.325724,14:42:34.425728,0 days 00:00:00.100004
21,2,100,40,14:42:37.450800,14:42:37.560738,0 days 00:00:00.109938
22,3,100,40,14:42:40.590447,14:42:40.700389,0 days 00:00:00.109942
23,4,100,40,14:42:43.730339,14:42:43.840279,0 days 00:00:00.109940
24,5,100,40,14:42:46.864271,14:42:46.974212,0 days 00:00:00.109941
25,6,100,40,14:42:49.995109,14:42:50.105050,0 days 00:00:00.109941
26,7,100,40,14:42:53.132854,14:42:53.242794,0 days 00:00:00.109940
27,8,100,40,14:42:56.278898,14:42:56.388828,0 days 00:00:00.109930
28,9,100,40,14:42:59.414934,14:42:59.524886,0 days 00:00:00.109952
29,10,100,40,14:43:02.545460,14:43:02.655400,0 days 00:00:00.109940
30,1,100,60,14:43:05.675400,14:43:05.785340,0 days 00:00:00.109940
31,2,100,60,14:43:08.811378,14:43:08.921321,0 days 00:00:00.109943
32,3,100,60,14:43:11.950902,14:43:12.060844,0 days 00:00:00.109942
33,4,100,60,14:43:15.088831,14:43:15.198790,0 days 00:00:00.109959
34,5,100,60,14:43:18.228044,14:43:18.337993,0 days 00:00:00.109949
35,6,100,60,14:43:21.374595,14:43:21.484538,0 days 00:00:00.109943
36,7,100,60,14:43:24.512633,14:43:24.622637,0 days 00:00:00.110004
37,8,100,60,14:43:27.647613,14:43:27.767550,0 days 00:00:00.119937
38,9,100,60,14:43:30.790090,14:43:30.900032,0 days 00:00:00.109942
39,10,100,60,14:43:33.926829,14:43:34.036740,0 days 00:00:00.109911
40,1,100,80,14:43:37.073306,14:43:37.183247,0 days 00:00:00.109941
41,2,100,80,14:43:40.212587,14:43:40.322557,0 days 00:00:00.109970
42,3,100,80,14:43:43.346691,14:43:43.456632,0 days 00:00:00.109941
43,4,100,80,14:43:46.476652,14:43:46.586607,0 days 00:00:00.109955
44,5,100,80,14:43:49.612703,14:43:49.722644,0 days 00:00:00.109941
45,6,100,80,14:43:52.746898,14:43:52.856838,0 days 00:00:00.109940
46,7,100,80,14:43:55.879395,14:43:55.989336,0 days 00:00:00.109941
47,8,100,80,14:43:59.012375,14:43:59.122317,0 days 00:00:00.109942
48,9,100,80,14:44:02.152114,14:44:02.262054,0 days 00:00:00.109940
49,10,100,80,14:44:05.283154,14:44:05.393093,0 days 00:00:00.109939
50,1,100,100,14:44:08.415006,14:44:08.524958,0 days 00:00:00.109952
51,2,100,100,14:44:11.550947,14:44:11.660888,0 days 00:00:00.109941
52,3,100,100,14:44:14.685651,14:44:14.787081,0 days 00:00:00.101430
53,4,100,100,14:44:17.811687,14:44:17.921625,0 days 00:00:00.109938
54,5,100,100,14:44:20.951277,14:44:21.061218,0 days 00:00:00.109941
55,6,100,100,14:44:24.082161,14:44:24.192098,0 days 00:00:00.109937
56,7,100,100,14:44:27.219637,14:44:27.329577,0 days 00:00:00.109940
57,8,100,100,14:44:30.367928,14:44:30.477858,0 days 00:00:00.109930
58,9,100,100,14:44:33.499848,14:44:33.609788,0 days 00:00:00.109940
59,10,100,100,14:44:36.632184,14:44:36.742125,0 days 00:00:00.109941